,Date,Location,Roll,Type,Color,Width,Length,Weight,Part No.
0,2023-10-12 00:00:00,EXT A,2844,UNI/scrim,BLACK,93,3515,,UDPPBKS58075093
1,2023-10-12 00:20:00,EXT A,NT11,UNI/scrim,BLACK,93,2500,,UDPPBK058075093
2,2023-10-12 00:50:00,EXT A,3278,UNI,YELLOW,111,1500,,UDPP00056078110
3,2023-10-13 00:00:00,EXT A,4153,UNI,YELLOW,111,6640,,UDPP00056078110
4,2023-10-13 00:00:00,EXT A,275,UNI,PURPLE,102,4000,6550.0,UDPP00024180102
5,2023-10-14 00:00:00,EXT A,3264,UNI,BLACK,117,10000,,UDPPBK058075117
6,2023-10-14 00:00:00,EXT A,3260,UNI/scrim,BLACK,117,6493,,UDPPBKS58075117
7,2023-10-16 00:00:00,EXT A,3255,UNI,GREEN,93,7283,5680.0,UDPPEX054081117
8,2023-10-19 00:00:00,EXT A,3254,UNI,GREEN,117,7500,,UDPPEX054081117
9,2023-10-19 00:00:00,EXT A,NT20,UNI,YELLOW,111,1000,,UDPP00056078110
10,2023-10-19 00:00:00,EXT A,3253,UNI,GREEN,117,7500,,UDPPEX054081117
11,2023-10-19 00:00:00,EXT A,3252,UNI,GREEN,117,7500,,UDPPEX054081117
12,2023-10-19 00:00:00,EXT A,NT2,UNI/scrim,BLACK,117,3000,,UDPPBKS58075117
13,2023-10-19 00:00:00,EXT A,NT11,UNI/scrim,BLACK,99,1000,,UDPPBKS58075099
14,2023-10-19 00:00:00,EXT A,4443,UNI,YELLOW,106,10000,,UDPP00056078105
15,2023-10-19 00:00:00,EXT A,4329,UNI,YELLOW,93,8600,,UDPP00056078093
16,2023-10-19 00:00:00,EXT A,NT51,UNI,YELLOW,100,4000,,UDPP00056078099
17,2023-10-19 00:00:00,EXT A,NT11,UNI,BLUE,102,1500,,UDPP00L42103102
